item,transitivity,verb,sem_score,consistency,baseline
knock-over-tower-TR,1.0,"['topple', 'know', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'seat', 'crash', 'collapse', 'break', 'break']",0.3363713051997994,1.0,1
lid-blow-off-IN,0.037037037037037035,"['open', 'go', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fall', 'come', 'come', 'come', 'blow', 'blow', 'blow', 'blow', 'blow']",0.49919862532903897,0.9259259259259259,0
lift-teapot-pinky-TR,1.0,"['use', 'lift', 'raise', 'raise', 'pick', 'pick', 'pick', 'pick', 'pick', 'pick', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'lift', 'use', 'lift', 'use', 'carry']",0.4431682813418106,1.0,1
light-candle-TR,1.0,"['light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light']",0.0,1.0,1
light-turn-on-IN,0.07407407407407407,"['turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'light', 'light', 'light', 'light', 'light', 'come', 'come']",0.30723590091597286,0.8518518518518519,0
march-IN,0.1111111111111111,"['walk', 'lift', 'take', 'take', 'take', 'stomp', 'step', 'step', 'step', 'step', 'step', 'walk', 'march', 'march', 'march', 'march', 'march', 'march', 'march', 'march', 'march', 'march', 'march', 'march', 'march', 'march', 'march', 'march', 'march']",0.4739575407139171,0.7777777777777778,0
measure-book-TR,0.9666666666666667,"['wrap', 'wrap', 'wrap', 'wrap', 'wrap', 'wrap', 'wrap', 'wrap', 'wrap', 'wrap', 'position', 'tie', 'tie', 'tie', 'tie', 'put', 'measure', 'measure', 'measure', 'measure', 'measure', 'measure', 'measure', 'measure', 'measure', 'measure', 'measure', 'measure', 'measure', 'measure', 'measure']",0.5820033793768876,0.9333333333333333,1
move-box-TR,1.0,"['slide', 'slide', 'slide', 'slide', 'slide', 'slide', 'slide', 'shift', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move']",0.30910081211610985,1.0,1
paper-airplane-land-IN,0.07407407407407407,"['sail', 'land', 'land', 'land', 'land', 'land', 'land', 'land', 'land', 'land', 'land', 'hit', 'hit', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fall', 'fall']",0.5650679498846853,0.8518518518518519,0
paper-drop-IN,0.037037037037037035,"['land', 'fly', 'fly', 'float', 'float', 'float', 'float', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'drop', 'drop', 'drop', 'drop', 'drift']",0.450787870914309,0.9259259259259259,0
pen-move-IN,0.05,"['slide', 'slide', 'slide', 'slide', 'slide', 'slide', 'roll', 'roll', 'roll', 'roll', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'drag']",0.47769124132544527,0.9,0
person-bend-over-IN,0.037037037037037035,"['stretch', 'lean', 'look', 'bow', 'bow', 'bow', 'bow', 'bow', 'bow', 'bow', 'bow', 'bow', 'bow', 'bow', 'bow', 'bow', 'bend', 'bend', 'bend', 'bend', 'bend', 'bend', 'bend', 'bend', 'bend', 'bend', 'bend', 'bend']",0.41050309209841157,0.9259259259259259,0
picture-shift-IN,0.0,"['swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'hang', 'sway', 'swat', 'rotate', 'rock', 'rock', 'move', 'move', 'move', 'linger', 'hang', 'hang', 'dangle', 'dangle', 'dangle', 'swing']",0.6024766391057582,1.0,0
plug-in-TR,1.0,"['use', 'put', 'pull', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'plug', 'connect', 'connect']",0.25369326207506954,1.0,1
pop-balloon-TR,1.0,"['use', 'stick', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'bust', 'burst']",0.22558875550545163,1.0,1
poster-roll-up-IN,0.14814814814814814,"['roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'retract']",0.07380233853014083,0.7037037037037037,0
pour-bottle-caps-TR,0.9333333333333333,"['pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'pour', 'empty', 'empty', 'empty', 'use']",0.1839778632197563,0.8666666666666667,1
pull-out-measuring-tape-TR,1.0,"['use', 'unwounded', 'pull', 'pull', 'pull', 'pull', 'pull', 'pull', 'pull', 'pull', 'pull', 'pull', 'pull', 'pull', 'pull', 'pull', 'measure', 'pull', 'extend', 'pull', 'extend', 'open', 'open', 'open', 'extend', 'extend', 'extend', 'extend', 'extend', 'extend', 'extend', 'expand', 'draw']",0.5312816875677006,1.0,1
push-button-microwave-TR,1.0,"['turn', 'turn', 'turn', 'touch', 'start', 'start', 'push', 'push', 'push', 'push', 'push', 'press', 'press', 'press', 'press', 'press', 'press', 'press', 'press', 'press', 'press', 'press', 'press', 'press', 'press', 'press', 'press', 'press', 'hit']",0.5253393346532949,1.0,1
push-toy-in-box-TR,1.0,"['squish', 'smash', 'put', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'push', 'lower', 'push', 'fit', 'press', 'press', 'place', 'hide', 'close']",0.41349943878793405,1.0,1
put-book-on-side-TR,1.0,"['turn', 'set', 'set', 'set', 'set', 'set', 'set', 'set', 'set', 'rotate', 'put', 'put', 'put', 'put', 'put', 'use', 'place', 'place', 'place', 'place', 'place', 'place', 'place', 'move', 'make', 'lay', 'lay', 'lay', 'lay', 'lay', 'lay']",0.6250961628517044,1.0,1
